french,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,than
un,a
il,he
et,and
à,at
a,at
ne,born
les,the
ce,this
en,in
on,we
ça,it
une,a
ai,have
pour,for
des,of the
moi,I
qui,who
nous,we
y,there
mais,But
me,me
dans,in
du,of
bien,good
elle,she
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,at
avec,with
va,go
oui,Yes
toi,you
fait,made
ils,they
as,ace
être,be
faire,to do
se,himself
comme,as
était,was
sur,sure
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,or
votre,your
pourquoi,Why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,am going to
dire,say
alors,so
comment,How? 'Or' What
avez,have
bon,Well
ou,or
très,very
merci,thank you
ont,have
même,even
jamais,never
aussi,too
voir,see
chose,thing
allez,going
tous,all
deux,of them
ces,these
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do
avoir,to have
peut,can
autre,other
m,m
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,fair
oh,Oh
avait,had
accord,agreement
vu,seen
monde,world
quelque,some
fois,times
aller,to go
trop,too much
viens,come
crois,think
dieu,God
dois,have
homme,man
père,dad
sûr,sure
aux,to the
leur,their
avant,before
étais,was
besoin,need
femme,women
aime,love
personne,no one
avais,had
chez,in
vrai,true
ans,years
mal,wrong
ses,his
parler,speak
vos,your
après,after
mort,death
veut,wants
eu,had
sera,will be
bonne,good
parce,by
mieux,better
petit,small
voilà,here
tes,your
ca,it
dis,tell
beaucoup,a lot
depuis,since
doit,must
vois,see
mère,mother
vas,going
monsieur,gentleman
quel,what
déjà,already
fille,girl
gens,people
donc,so
jour,day
soir,evening
autres,other
ii,ii
toute,all
bonjour,Hello
ll,It
maison,House
nom,last name
argent,silver
nos,our
ouais,yeah
pense,thought
merde,Fuck
nuit,night
papa,dad
cela,it
salut,Hi
cet,this
avons,have
reste,rest
désolé,sorry
maman,mom
peur,fear
arrive,come
seul,alone
vite,quickly
prendre,take